state,timestamp,timeseries_votes,eevp,Trump Share,Biden Share,Votes_Remaining_File,state_last_updated,Total_Votes,Total_Absentee_Votes,Trump_Votes,Trump_Absentee_Votes,Biden_Votes,Biden_Absentee_Votes,Jorgensen_Votes,Jorgensen_Absentee_Votes,Counties_Total_Votes,Counties_Total_Absentee_Votes,Counties_Total_Max_Absentee_Ballots,Counties_Trump_Votes,Counties_Trump_Absentee_Votes,Counties_Biden_Votes,Counties_Biden_Absentee_Votes,Counties_Jorgensen_Votes,Counties_Jorgensen_Absentee_Votes,Precinct_Metadata_Filename,Precinct_Meta_Counties_Total_Votes,Precinct_Meta_Counties_Total_Electionday_Votes,Precinct_Meta_Counties_Total_Absentee_Votes,Precinct_Meta_Counties_Total_Provisional_Votes,Precinct_Meta_Counties_uncounted_mail_ballots,Precinct_Meta_Counties_Trump_Votes,Precinct_Meta_Counties_Trump_Electionday_Votes,Precinct_Meta_Counties_Trump_Absentee_Votes,Precinct_Meta_Counties_Trump_Provisional_Votes,Precinct_Meta_Counties_Biden_Votes,Precinct_Meta_Counties_Biden_Electionday_Votes,Precinct_Meta_Counties_Biden_Absentee_Votes,Precinct_Meta_Counties_Biden_Provisional_Votes,Precinct_Meta_Counties_Jorgensen_Votes,Precinct_Meta_Counties_Jorgensen_Electionday_Votes,Precinct_Meta_Counties_Jorgensen_Absentee_Votes,Precinct_Meta_Counties_Jorgensen_Provisional_Votes,Precincts_Total_Votes,Precincts_Trump_Votes,Precincts_Biden_Votes,Precincts_Jorgensen_Votes
Alaska,2020-11-04T10:01:44Z,0,0,0,0,0495bf36dde75821853231fa27d1c1a7062fcbf4.json,2020-11-04T10:01:44Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-04T07:47:41Z,113744,31,0.605,0.352,2c35f74a00176225058aa458668eb3bfd9d18435.json,2020-11-04T07:47:41Z,113744,0,68831,0,39996,0,2954,0,0,0,160000,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-04T08:57:55Z,132475,36,0.614,0.347,2c35f74a00176225058aa458668eb3bfd9d18435.json,2020-11-04T07:47:41Z,113744,0,68831,0,39996,0,2954,0,0,0,160000,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-04T18:34:58Z,172031,56,0.629,0.33,64740d4e2a33e76f0c39d988015ea4e6749486cf.json,2020-11-04T18:34:58Z,172031,33200,108231,16012,56849,16474,4557,493,131885,33200,160000,80999,16012,45758,16474,3478,493,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-09T19:09:13Z,190970,61,0.622,0.336,64740d4e2a33e76f0c39d988015ea4e6749486cf.json,2020-11-04T18:34:58Z,172031,33200,108231,16012,56849,16474,4557,493,131885,33200,160000,80999,16012,45758,16474,3478,493,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-11T02:46:15Z,240234,75,0.58,0.381,60c697a43bc7823d094b6dd185e6340d7c7113d8.json,2020-11-09T19:09:25Z,190970,33200,118844,16012,64246,16474,4966,493,131885,33200,160000,80999,16012,45758,16474,3478,493,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-11T13:18:28Z,260983,75,0.569,0.391,069e8efa6310ee4bf67883022f33a198b0ecf539.json,2020-11-11T13:18:28Z,260983,96828,148624,41697,102080,52364,6570,1856,260983,96828,160000,148624,41697,102080,52364,6570,1856,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-12T16:41:43Z,286788,78,0.559,0.403,e39e805089a0c6d7c6c3e94ed61bcae43533dbd0.json,2020-11-12T16:41:43Z,286788,119160,160193,51047,115543,64786,7107,2227,286788,119160,160000,160193,51047,115543,64786,7107,2227,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-13T02:25:15Z,312033,99,0.541,0.421,e01b8111a74cf7bfc8d3468689e6194989d9c1f9.json,2020-11-13T02:25:15Z,312033,119160,168954,51047,131233,64786,7586,2227,286788,119160,160000,160193,51047,115543,64786,7107,2227,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-13T13:55:46Z,325194,99,0.533,0.425,3faae7a8ead1ac53f05209b6a172077104cfa171.json,2020-11-13T13:55:46Z,325194,119160,173233,51047,138070,64786,7816,2227,286788,119160,160000,160193,51047,115543,64786,7107,2227,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-14T02:43:02Z,334789,99,0.535,0.427,03eafe7dcf0272cf27c0a0ea873d129a6495dc29.json,2020-11-14T02:43:02Z,334789,157290,179080,64697,143037,88118,8151,2967,334789,157290,160000,179080,64697,143037,88118,8151,2967,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-15T18:48:47Z,339523,99,0.535,0.427,fcbc05e1e088caf83ff3c2d1d7f0a2d6181e454e.json,2020-11-15T18:48:47Z,339523,161206,181661,66836,144966,89716,8294,3082,339523,161206,160000,181661,66836,144966,89716,8294,3082,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-16T17:01:35Z,349473,99,0.532,0.43,0f6b70d0a7a60c9b833f7921eec0d561d385ac4b.json,2020-11-16T17:01:35Z,349473,170502,185769,70752,150262,94579,8653,3425,349473,170502,160000,185769,70752,150262,94579,8653,3425,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-19T13:17:03Z,356796,99,0.531,0.43,445b4b6d99b3c01ee8d24cf31e68662efabe0c56.json,2020-11-19T13:17:03Z,356796,174456,189457,72953,153551,96128,8867,3573,356796,174456,160000,189457,72953,153551,96128,8867,3573,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-19T00:39:05.800Z,356845,99,0.531,0.43,755f0902cca317c9cf53188fcb35e17fad7ca348.json,2020-11-18T17:17:25Z,349473,170502,185769,70752,150262,94579,8653,3425,349473,170502,160000,185769,70752,150262,94579,8653,3425,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-25T01:55:49Z,356488,99,0.532,0.43,a13d0e867dd558a31db140671929765cf54ad4f7.json,2020-11-25T01:55:49Z,356488,174456,189484,72953,153129,96128,8876,3573,356488,174456,160000,189484,72953,153129,96128,8876,3573,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,2020-11-25T02:13:33Z,358802,99,0.528,0.428,c64d0863e5d3d06ecc5674a2d33f0c12236c2b77.json,2020-11-25T02:13:33Z,358802,174456,189543,72953,153502,96128,8877,3573,356488,174456,160000,189484,72953,153129,96128,8876,3573,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T10:02:44Z,0,0,0,0,0495bf36dde75821853231fa27d1c1a7062fcbf4.json,2020-11-04T10:02:44Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:23:07Z,1053,0,0.407,0.585,2c35f74a00176225058aa458668eb3bfd9d18435.json,2020-11-04T08:02:25Z,2230255,26107,1409055,11149,790711,14813,24460,123,2230255,26107,144791,1409055,11149,790711,14813,24460,123,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:28:39Z,2190,0,0.395,0.602,72646b353ecf32425e55168f20d41f69c22bca4d.json,2020-11-04T03:50:06Z,1355319,24633,846343,10977,491718,13522,14628,115,1355319,24633,144791,846343,10977,491718,13522,14628,115,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:29:35Z,3709,0,0.506,0.489,ad699cf2c9f187f2183742949ef17111ca27202a.json,2020-11-04T02:39:35Z,398903,18656,230610,9137,163524,9421,4358,89,398903,18656,144791,230610,9137,163524,9421,4358,89,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:32:46Z,4280,0,0.52,0.474,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:40:51Z,5249,0,0.516,0.476,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:41:31Z,8971,0,0.472,0.52,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:42:13Z,9234,0,0.463,0.53,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:43:04Z,10648,0,0.439,0.551,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:45:58Z,11670,0,0.475,0.515,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:46:29Z,11672,0,0.475,0.515,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:49:11Z,18631,1,0.398,0.592,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:52:02Z,21290,1,0.406,0.58,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:55:09Z,23626,1,0.423,0.564,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:56:07Z,30815,1,0.452,0.533,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T01:57:36Z,32278,1,0.454,0.53,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:00:03Z,40640,2,0.468,0.519,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:02:35Z,57276,2,0.462,0.526,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:02:42Z,57720,2,0.465,0.523,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:03:00Z,60973,3,0.489,0.499,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:04:16Z,61798,3,0.491,0.497,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:06:06Z,64748,3,0.498,0.49,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:08:52Z,66834,3,0.497,0.49,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:09:29Z,87270,4,0.538,0.449,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:09:46Z,87819,4,0.54,0.447,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:10:50Z,96685,4,0.501,0.485,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:12:20Z,102521,4,0.514,0.473,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:12:31Z,106641,4,0.517,0.47,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:16:36Z,110254,5,0.522,0.466,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:16:48Z,115261,5,0.539,0.449,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:17:24Z,117598,5,0.544,0.444,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:18:14Z,150325,6,0.503,0.485,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:19:55Z,167645,7,0.489,0.499,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:22:05Z,177093,7,0.502,0.487,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:22:13Z,193780,8,0.51,0.477,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:22:55Z,200496,8,0.523,0.465,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:23:15Z,210956,9,0.531,0.457,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-11-04T02:23:54Z,218259,9,0.54,0.447,84386ea224b2c969babf788e8b7ef4f80778adef.json,2020-11-03T06:56:55Z,0,0,0,0,0,0,0,0,0,0,144791,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
